Thread ID,Distance From Positivity, Thread Certainity, Number of Interactions, Number of effective reaction
553576010898497536,-0.2028294462552204,somewhat-certain,19,6,
553501357156876290,-0.5108476234316489,certain,24,3,
552978099357237248,0.0,certain,3,2,
553587013409325058,-0.660270054784271,certain,34,8,
553461741917863936,-0.67788994889297,certain,19,5,
553489393202499584,0.0,certain,8,2,
553543369604210689,-0.6137576359549373,somewhat-certain,22,8,
553508098825261056,-0.3673366090268046,certain,19,4,
552816020403269632,-0.5982379726786775,certain,5,1,
553478289474740224,0.0,uncertain,6,1,
552811386259386370,-0.20495801141575434,somewhat-certain,18,7,
553587303172833280,-0.3557394246879747,certain,21,10,
529689679411810304,-0.7647975832767924,certain,5,1,
529713467184676864,-0.43467702278518267,certain,5,4,
529716453792956416,0.0,uncertain,2,0,
529687410611728384,0.0,uncertain,5,2,
500307001629745152,-0.9953053085197539,somewhat-certain,88,33,
500303431928922113,-0.5623964289034301,somewhat-certain,18,6,
500371149713178625,-0.3902690530048165,somewhat-certain,21,8,
500413818368184321,-0.942507994730018,somewhat-certain,19,7,
500319675797209088,-0.7448277286449897,somewhat-certain,12,5,
500284699546517505,-0.461881823438698,certain,16,8,
500378522788315137,-0.7340654785309604,certain,21,9,
500363126294863876,-0.5906760417327573,certain,9,5,
500347114975944705,-0.7953053278759139,certain,103,22,
500308076004929537,-0.7804169103525918,somewhat-certain,19,6,
500389488217309184,-0.8137926875884812,somewhat-certain,37,16,
500288349924782080,-0.049243160880881355,uncertain,18,7,
499368931367608320,-0.9530506331983153,certain,48,9,
500332933098385408,-0.7615254289330817,somewhat-certain,9,4,
581293286268129280,-0.9961382874744851,uncertain,20,8,
580360165540642816,-0.33863613051222036,certain,2,2,
580882341880446977,0.0,uncertain,5,2,
580340476949086208,-0.7261094271077028,certain,19,10,
580332109782466561,0.0,certain,9,3,
524923676484177920,-0.7532445243358435,certain,10,5,
524947867975561216,-0.5362660876394588,somewhat-certain,17,5,
524949443607412737,-0.3699831074832617,somewhat-certain,4,2,
525032872647065600,-0.8054391874191761,certain,15,8,
524940659778920448,0.0,certain,6,4,
525056576038518785,-0.4441070561547266,certain,23,6,
524948866773184512,0.0,certain,3,1,
525028734991343617,-0.3742180772770901,certain,5,2,
525025463648137216,0.0,certain,10,3,
524965775036387329,0.0,certain,4,2,
524927281048080385,-0.9994296536998998,certain,42,16,
544512108885725184,-0.40777233666223145,certain,19,9,
544374511194632192,-0.5899161266647237,somewhat-certain,9,4,
544292129972170752,-0.737150903662501,somewhat-certain,14,8,
544511199702822913,-0.4565498849462788,certain,8,2,
544272537341812736,-0.7155318460321213,certain,21,8,
544306719686656000,-0.5994775623030286,certain,16,8,
544352727971954690,-0.6752523479688539,certain,8,5,
544491151118860289,-0.37986482112475145,certain,8,1,
544287209730236416,-0.07924931188689623,certain,10,5,
544328894812549121,-0.7168096721613194,certain,36,18,
544514570367168512,-0.5004506954324901,certain,15,10,
544324444773433348,-0.40710020686906156,certain,21,9,
544277117039837184,-0.8667862761964149,somewhat-certain,30,10,
544297696308518912,-0.37084243712900766,certain,23,7,
544381485591982083,-0.27236464637249236,uncertain,21,6,
544290258951892992,0.0,certain,10,4,
498280126254428160,0.0,certain,5,1,
544476808566276097,-0.602515293455824,certain,31,8,
552791196247269378,-0.7345833911778763,certain,22,11,
524929497205055488,-0.6748903086216406,certain,12,6,
524970851675176960,-0.46703650510209843,certain,9,5,
544293753130082305,-0.3564033747190518,certain,10,3,
553544252563935234,-0.2930589324210764,certain,14,9,
552814494381256704,-0.04226480619984514,certain,10,5,
529739968470867968,-0.5860692647655322,certain,11,6,
500378223977721856,-0.53293835176007,somewhat-certain,17,9,
580348081100734464,-0.022449870536045247,certain,23,5,
581473088249958400,-0.1478782036918819,certain,7,4,
524952883343925249,-0.49764810808741844,certain,21,7,
525060425184858112,-0.43849320355203136,certain,21,4,
524959809402331137,-0.6967755023194576,certain,19,10,
525049639016615937,-0.027416068609262954,certain,6,3,
524966904885428226,-0.25727364868521646,certain,6,3,
524995771587108864,-0.3897662412362007,certain,6,3,
525058976376193024,-0.43050055258795356,somewhat-certain,4,3,
525068915068923904,0.0,certain,3,1,
524956129017995264,-0.7398557672306371,somewhat-certain,33,9,
524990163446140928,-0.4858524236750995,certain,5,4,
544462330105712640,-0.3619992006475855,certain,33,5,
544291804057960448,-0.45401721551375085,somewhat-certain,10,3,
544289409294553088,-0.6711045836042352,underspecified,11,6,
544289941996326912,-0.3602958188704947,underspecified,4,4,
544358533819420672,-0.5900599076351365,certain,18,9,
544367462012432384,-0.6394266103000144,certain,12,6,
544319832486064128,-0.7376343465905248,certain,27,12,
500280838710247424,-0.8415869561668303,somewhat-certain,39,14,
500281094239817728,-0.5790403787325995,certain,5,3,
500281131057811456,-0.6281367591943248,certain,21,5,
500286058664579072,-0.8191806622132872,certain,74,16,
524932935137628160,-0.8437334648557788,certain,35,20,
524947674164760577,-0.8716138600461258,certain,20,10,
521346721226711040,-0.70459627251994,uncertain,26,6,
521360486387175424,-0.6098888654151446,certain,8,5,
